lat,long
40.783468,-73.954992
40.784075,-73.95449
40.781625,-73.960548
40.778933,-73.958289
40.77502,-73.965438
40.776327,-73.962246
40.771161,-73.963965
40.767383,-73.966758
40.771225,-73.968253
40.769864,-73.964925
40.773196,-73.966856
40.772443,-73.963048
40.769873,-73.962889
40.767961,-73.962249
40.776363,-73.958086
40.776257,-73.955942
40.77086,-73.957164
40.771677,-73.940544
40.770407,-73.944798
40.80426,-73.952793
40.796831,-73.947201
40.791649,-73.948943
40.78208,-73.953764
40.779494,-73.953584
40.779842,-73.944461
40.800645,-73.940179
40.79536,-73.935919
40.792896,-73.937754
40.79168,-73.93865
40.802812,-73.933621
40.804126,-73.932616
40.80107,-73.929839
40.795777,-73.932775
40.796418,-73.932294
40.785673,-73.939877
40.771025,-73.947264
40.773584,-73.949285
40.77084,-73.951207
40.769634,-73.950153
40.775183,-73.944965
40.764799,-73.952636
40.799102,-73.922937
40.796686,-73.919442
40.801076,-73.971319
40.764735,-73.947733
40.791622,-73.964294
40.788645,-73.95714
40.779843,-73.970858
40.773116,-73.972662
40.782953,-73.943996
40.801861,-73.930072
40.77477,-73.934785
40.774372,-73.933878
40.772961,-73.935381
40.768491,-73.938224
40.77176,-73.931099
40.76527,-73.935622
40.773055,-73.929488
40.78394,-73.915296
40.771418,-73.928617
40.772553,-73.927
40.769336,-73.925612
40.776542,-73.918722
40.773684,-73.920927
40.773192,-73.921559
40.779238,-73.917405
40.813779,-73.931106
40.807579,-73.929206
40.803779,-73.921906
40.811543,-73.93113
40.804475,-73.927359
40.787668,-73.981294
40.786186,-73.98154
40.783383,-73.98565
40.800943,-73.970995
40.779959,-73.980771
40.764515,-73.955814
40.817651,-73.95315
40.808155,-73.960162
40.804088,-73.960423
40.814233,-73.960648
40.815212,-73.957846
40.810112,-73.95714
40.785933,-73.984553
40.806143,-73.959458
40.815114,-73.952991
40.816433,-73.948366
40.80886,-73.954089
40.80702,-73.955465
40.807605,-73.953121
40.807063,-73.953557
40.806512,-73.946473
40.804015,-73.948286
40.814065,-73.944695
40.810884,-73.939035
40.803311,-73.944628
40.799678,-73.971998
40.798499,-73.969036
40.795318,-73.973279
40.796593,-73.970433
40.785672,-73.98033
40.787672,-73.977134
40.791761,-73.978867
40.780638,-73.976565
40.79087,-73.972805
40.790891,-73.969056
40.79669,-73.94952
40.80178,-73.964749
40.794828,-73.96431
40.794247,-73.962905
40.800854,-73.958664
40.804806,-73.958403
40.80375,-73.957802
40.801247,-73.957795
40.78216,-73.957989
40.778827,-73.956188
40.777554,-73.97513
40.774372,-73.963773
40.76872,-73.967942
40.76871,-73.970065
40.768135,-73.970501
40.769992,-73.969148
40.769272,-73.965361
40.772523,-73.967315
40.777043,-73.959599
40.76985,-73.960809
40.76548,-73.964083
40.765461,-73.958018
40.803288,-73.952538
40.802598,-73.953106
40.800735,-73.952575
40.797134,-73.949106
40.793627,-73.949538
40.795463,-73.941986
40.786638,-73.952568
40.788551,-73.953294
40.788624,-73.955352
40.783322,-73.950789
40.781111,-73.949459
40.781702,-73.949043
40.778916,-73.948041
40.791543,-73.946798
40.78806,-73.944392
40.79197,-73.94153
40.787738,-73.941555
40.802525,-73.94097
40.803733,-73.937885
40.801611,-73.938634
40.799625,-73.935937
40.794527,-73.937874
40.802095,-73.931003
40.798645,-73.933516
40.791023,-73.939109
40.774448,-73.951512
40.775022,-73.950967
40.775391,-73.947845
40.770451,-73.948025
40.764534,-73.946695
40.762417,-73.944065
40.801448,-73.929685
40.793419,-73.961328
40.774173,-73.973805
40.77709,-73.974179
40.773908,-73.973308
40.776568,-73.935728
40.772061,-73.932289
40.764374,-73.938227
40.766561,-73.932517
40.775504,-73.92813
40.77387,-73.926927
40.772253,-73.930793
40.771558,-73.929801
40.773344,-73.927277
40.769944,-73.92511
40.775017,-73.920551
40.779549,-73.916818
40.806279,-73.927806
40.785004,-73.98276
40.785845,-73.983124
40.784358,-73.98129
40.780258,-73.981528
40.764299,-73.95523
40.816164,-73.9575
40.808082,-73.957995
40.817206,-73.948145
40.814513,-73.955444
40.812743,-73.953178
40.813179,-73.950423
40.809523,-73.955559
40.805646,-73.958377
40.805748,-73.954475
40.808295,-73.952618
40.808332,-73.948868
40.803862,-73.942089
40.814114,-73.934919
40.803118,-73.930103
40.793007,-73.97691
40.786313,-73.979828
40.786975,-73.975577
40.78391,-73.980166
40.782795,-73.971375
40.787769,-73.971326
40.8024,-73.968126
40.799374,-73.959149
40.782137,-73.955887
40.779597,-73.959823
40.767511,-73.970981
40.769368,-73.969607
40.771812,-73.961491
40.770108,-73.943955
40.767843,-73.946481
40.76469,-73.94912
40.799928,-73.952493
40.799295,-73.94541
40.790414,-73.954042
40.785185,-73.951515
40.784594,-73.951952
40.780792,-73.952667
40.779846,-73.950376
40.789627,-73.94007
40.783677,-73.943659
40.782896,-73.943831
40.803198,-73.94051
40.801196,-73.937748
40.798344,-73.936855
40.791841,-73.937349
40.794224,-73.93118
40.796803,-73.929236
40.779676,-73.944007
40.775729,-73.950594
40.776688,-73.946733
40.772927,-73.949722
40.77222,-73.950225
40.765392,-73.952105
40.765442,-73.952256
40.765259,-73.951759
40.801251,-73.929773
40.813462,-73.965211
40.76557,-73.936422
40.78095,-73.917308
40.772652,-73.931895
40.772257,-73.927197
40.770541,-73.926384
40.775777,-73.921499
40.811979,-73.931606
40.812579,-73.928906
40.809379,-73.930406
40.808779,-73.929706
40.79908,-73.918606
40.800362,-73.969611
40.779252,-73.981208
40.761189,-73.956093
40.804848,-73.966292
40.816365,-73.957861
40.810755,-73.954555
40.810406,-73.95369
40.805705,-73.956317
40.805031,-73.956863
40.805068,-73.952853
40.810217,-73.951177
40.806426,-73.950266
40.81462,-73.947965
40.811585,-73.946509
40.814085,-73.940901
40.804437,-73.941652
40.808971,-73.938331
40.807674,-73.939292
40.810863,-73.934769
40.807622,-73.93399
40.809585,-73.934794
40.805664,-73.934471
40.806022,-73.931677
40.794611,-73.97376
40.794279,-73.972981
40.792683,-73.97325
40.797888,-73.973525
40.792172,-73.968052
40.785208,-73.979227
40.787031,-73.977679
40.790169,-73.975105
40.788356,-73.974617
40.779356,-73.977483
40.783349,-73.974514
40.778244,-73.974671
40.789083,-73.970257
40.788377,-73.970846
40.79858,-73.963336
40.800021,-73.960597
40.796734,-73.962934
40.796093,-73.96335
40.801333,-73.954023
40.795542,-73.945995
40.797418,-73.960612
40.776334,-73.964391
40.775072,-73.96117
40.773124,-73.964755
40.768,-73.964285
40.773028,-73.960596
40.777595,-73.957061
40.768906,-73.944222
40.772373,-73.941667
40.763772,-73.950251
40.798185,-73.948342
40.797545,-73.948887
40.798657,-73.941621
40.790335,-73.949817
40.787781,-73.949572
40.78397,-73.952367
40.782967,-73.948083
40.788362,-73.941031
40.783926,-73.944264
40.803092,-73.938409
40.798699,-73.939605
40.800732,-73.932008
40.797378,-73.929103
40.796969,-73.929625
40.793913,-73.931767
40.796013,-73.929414
40.770384,-73.947874
40.776994,-73.949461
40.774477,-73.945511
40.764156,-73.947065
40.797881,-73.922035
40.799607,-73.92586
40.7976,-73.921798
40.806976,-73.967537
40.78438,-73.96738
40.780012,-73.971152
40.772691,-73.96844
40.791216,-73.964173
40.802842,-73.932775
40.80053,-73.930817
40.764111,-73.948192
40.80112,-73.930098
40.801632,-73.930355
40.773376,-73.93657
40.767165,-73.935806
40.765869,-73.93733
40.766178,-73.936006
40.763975,-73.937319
40.782837,-73.915303
40.777572,-73.92125
40.811779,-73.932106
40.806879,-73.930006
40.808979,-73.928506
40.807479,-73.925606
40.805879,-73.921706
40.789248,-73.980961
40.788474,-73.98116
40.785798,-73.983904
40.763316,-73.956774
40.811411,-73.964023
40.806119,-73.967455
40.80431,-73.962914
40.814201,-73.950829
40.812086,-73.95355
40.813706,-73.955363
40.813545,-73.951331
40.812123,-73.949822
40.808833,-73.956083
40.807634,-73.956957
40.804639,-73.947828
40.81205,-73.947763
40.81533,-73.943799
40.812229,-73.942213
40.814792,-73.94042
40.812647,-73.939328
40.814071,-73.936718
40.812093,-73.936036
40.808291,-73.936709
40.803195,-73.930021
40.79208,-73.975572
40.800522,-73.968028
40.79396,-73.97632
40.794654,-73.971809
40.787616,-73.975119
